순번,용어,분야,영문,설명
1,ABB,District Heating,Air Blast Circuit Breaker,공기식 차단기
2,ABB,District Heating,Asea Brown Boveri,발전설비 제작업체명
3,ABC,District Heating,Automatic Boiler Control System,보일러 자동제어 계통
4,ABC,District Heating,Activity Based Cost accounting,활동기준원가계산
5,ABM,District Heating,Activity Based Cost Management,활동기반 원가관리
6,ABMA,District Heating,American Boiler Manufacturer Association,미국 보일러제작자 협회
7,ABO,District Heating,Boiler Auxiliary Operator,보일러 보조운영요원
8,ABS,District Heating,Automatic Boiler Start Up & Shut Down System,보일러 자동기동정지 제어계통
9,ABS,District Heating,Alkali Benzene Sulfate,경성세제 원료
10,ABS,District Heating,Asset Backed Securities,자산유동화증권
11,Abs.,District Heating,Absolute,절대적
12,AC,District Heating,Alternating Current,교류
13,AC,District Heating,Air Conditioner,공기조화장치
14,ACB,District Heating,Air Circuit Breaker,공기식 차단기
15,ACC.,District Heating,Accumulator,축열조
16,ACC,District Heating,Active Clearance Control,운전중 터빈Clearance조정장치
17,Acc.,District Heating,Acceleration,가속
18,ACC,District Heating,Air Cooled Condenser System,공기냉각장치
19,ACC,District Heating,Automatic Combustion Control System,자동연소제어계통
20,ACI,District Heating,American Concreate Institute,미국 콘크리크협회
21,ACR,District Heating,Alkali Copper Removal,알카리세정
22,ACS,District Heating,Air Compressor System,공기압축기 시스템
23,ACS,District Heating,Analog Control System,아날로그 제어계통
24,ACWP,District Heating,Auxiliary Cooling Water Pump,보조냉각수 펌프
25,AD,District Heating,Air Dryer,공기건조기
26,Admin. BD,District Heating,Administration Building,종합사무실동
27,ADS,District Heating,Automatic Distribution System,배전자동화시스템
28,A/E,District Heating,Air Ejector,공기 추출기
29,AE,District Heating,Architectural Engineering,건축공학
30,AE,District Heating,Accoustic Emission,음향방향기술
31,AE,District Heating,Analysis Element,분석요소
32,AEG,District Heating,Allgemeine Elektrisitats Gesellschaft,독일발전설비 제작업체명
33,AF,District Heating,Availability Factor,가동율
34,AF,District Heating,As Fired,연소식(발열량)
35,AFBC,District Heating,Atmospheric Fluidizing Bed Combustion,상압 유동층연소
36,AFC,District Heating,Automatic Frequency Control,자동 주파수 조정
37,AFR,District Heating,Automatic Frequency Regulator,자동 주파수 조정기
38,AFU,District Heating,Automatic Follow Up Device,자동추종장치
39,AGC,District Heating,Automatic Generation Control,자동 발전량 제어
40,AGCM,District Heating,Annual Generation Cost Method,연간 발전비용 계산법
41,AGMA,District Heating,American Gear Manufacturer Association,미국 기어제작자 협회
42,A/H,District Heating,Air Pre-heater,공기예열기
43,AH,District Heating,Ampere Hour,축전지 용량의 단위
44,AHOP,District Heating,Air Pre-heater Oil Pump,공기예열기 급유펌프
45,AHP,District Heating,Analytic Hierarchy Process ,계층화분석법
46,AHU,District Heating,Air Handling Unit,공기조화설비
47,AI,District Heating,Artificial Intelligence,인공지능
